FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27
2018-01-01,UA,2164,ALB,ORD,1004,1022.0,18.0,8.0,1030.0,1116.0,8.0,1134,1124.0,-10.0,0.0,0.0,0.0,150.0,122.0,106.0,723.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2163,SFO,RNO,1048,1044.0,-4.0,22.0,1106.0,1138.0,5.0,1153,1143.0,-10.0,0.0,0.0,0.0,65.0,59.0,32.0,192.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2162,SFO,EUG,2013,2003.0,-10.0,19.0,2022.0,2132.0,9.0,2148,2141.0,-7.0,0.0,0.0,0.0,95.0,98.0,70.0,451.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2161,ORD,MCO,2113,2123.0,10.0,18.0,2141.0,47.0,6.0,57,53.0,-4.0,0.0,0.0,0.0,164.0,150.0,126.0,1005.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2160,ORD,MCI,2030,2111.0,41.0,21.0,2132.0,2230.0,5.0,2209,2235.0,26.0,0.0,0.0,0.0,99.0,84.0,58.0,403.0,0.0,26.0,0.0,0.0,0.0,
2018-01-01,UA,2159,ORD,DTW,2055,2112.0,17.0,14.0,2126.0,2309.0,7.0,2316,2316.0,0.0,0.0,0.0,0.0,81.0,64.0,43.0,235.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2158,ORD,CLT,2101,2127.0,26.0,16.0,2143.0,2359.0,4.0,3,3.0,0.0,0.0,0.0,0.0,122.0,96.0,76.0,599.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2157,LAX,DEN,1558,1557.0,-1.0,14.0,1611.0,1902.0,7.0,1924,1909.0,-15.0,0.0,0.0,0.0,146.0,132.0,111.0,862.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2156,SFO,CLE,2240,2235.0,-5.0,22.0,2257.0,601.0,5.0,617,606.0,-11.0,0.0,0.0,0.0,277.0,271.0,244.0,2161.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01,UA,2155,IND,ORD,1822,1956.0,94.0,9.0,2005.0,1947.0,3.0,1835,1950.0,75.0,0.0,0.0,0.0,73.0,54.0,42.0,177.0,0.0,18.0,0.0,0.0,57.0,
